id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,detailed_mood_tags,vocal_presence,instrumentation,familiarity_level
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,82,2020s,"uplifting,energetic,pop-mainstream",0.85,electronic,mainstream
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,45,2010s,"lo-fi,ambient,study",0.15,electronic,niche
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,38,2010s,"heavy,aggressive,adrenaline",0.65,guitar-driven,niche
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,52,2010s,"lo-fi,relaxing,nostalgic",0.10,acoustic-electronic,mainstream
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,75,2020s,"upbeat,motivational,workout",0.80,electronic,mainstream
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,30,2010s,"dreamy,ethereal,meditative",0.05,electronic,niche
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,35,1990s,"sophisticated,introspective,vintage",0.60,acoustic,niche
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,48,2010s,"retro,moody,nostalgic",0.20,electronic,niche
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,50,2010s,"lo-fi,productive,zen",0.08,electronic,mainstream
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,55,2010s,"indie,cheerful,indie-pop",0.75,acoustic-electronic,niche
11,Deep Blues,Mississippi Joe,blues,melancholic,0.38,92,0.35,0.48,0.76,28,1980s,"soulful,melancholic,classic-blues",0.85,acoustic,niche
12,Neon Nights,Synth Wave Collective,electronic,energetic,0.87,140,0.72,0.85,0.12,60,2010s,"synth,energetic,80s-retro",0.25,electronic,mainstream
13,Sunset in Jamaica,Reggae Vibes,reggae,relaxed,0.52,96,0.74,0.71,0.68,42,1990s,"reggae,tropical,relaxed",0.70,acoustic,mainstream
14,Urban Jungle,MC Flow,hip-hop,confident,0.68,105,0.64,0.82,0.31,58,2000s,"hip-hop,urban,confident",0.90,electronic,mainstream
15,Classical Dreams,Symphony Hall,classical,sophisticated,0.45,88,0.68,0.35,0.95,35,1800s,"orchestral,classical,elegant",0.15,orchestral,universal
16,Metal Thunder,Iron Forge,metal,aggressive,0.94,165,0.29,0.72,0.08,40,2000s,"metal,intense,powerful",0.70,guitar-driven,niche
17,Folk Campfire,Acoustic Hearts,folk,nostalgic,0.41,82,0.71,0.45,0.88,33,1970s,"folk,acoustic,nostalgic-vintage",0.80,acoustic,niche
18,EDM Festival,Pulse Collective,edm,euphoric,0.92,128,0.86,0.91,0.15,72,2010s,"edm,euphoric,dance-party",0.10,electronic,mainstream
